"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-01",,"25.7",,"23.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-03",,"25.6","28.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-04","47.0","24.3","27.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-05","10.9","25.3","31.6",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-06","0.0","26.0","31.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-07","56.9","23.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-08","38.1","25.9","29.5","22.1"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-09","1.0","26.9","29.3","23.4"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-10","0.0","24.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-11","12.4","24.8","29.1","22.8"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-12",,"24.6",,"21.2"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-13",,"24.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-14",,"25.3","28.5",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-16",,"24.1","29.1",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-17",,"25.2",,"22.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-18",,"26.3","30.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-19",,"24.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-20","21.1","24.4","28.5",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-21","8.9","25.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-22","0.0","25.3",,"22.1"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-23","47.0","25.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-24",,"26.3",,"23.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-25",,"25.1",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-26",,"25.2","29.8","22.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-27","21.1","23.9","26.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-28",,"23.4",,"22.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-29","5.1","27.0",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-30","0.0","24.8","28.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-07-31",,"25.8",,"22.8"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-01",,"27.1","30.7",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-02",,"25.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-03",,"25.4","30.5","23.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-04",,"27.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-05",,"26.6","31.0","19.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-06",,"25.7",,"20.2"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-07",,"25.4","29.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-08",,"27.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-09",,"26.7",,"23.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-10",,"27.4","31.3",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-11",,"26.4","32.1",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-12",,"26.9","32.8","21.7"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-13",,"27.2",,"22.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-14",,"27.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-15",,"24.8",,"23.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-16",,"26.3","30.7","23.1"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-17",,"26.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-18",,"26.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-19",,"25.7","30.7","23.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-20",,"26.2","29.8","23.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-21",,"24.9","28.8",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-22",,"26.2","31.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-23","0.0","25.4",,"23.2"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-24",,"26.9","30.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-25",,"25.9",,"19.8"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-26",,"28.4","32.5",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-27",,"27.1","32.0","23.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-28",,"25.2","28.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-29",,"25.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-30",,"26.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-08-31",,"25.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-01",,"24.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-04",,"24.7",,"21.4"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-05",,"23.6","29.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-06",,"27.2",,"22.7"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-07",,"28.3",,"23.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-08","43.9","25.6",,"23.8"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-09",,"25.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-10","4.1","26.5","30.6","22.4"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-11","0.0","26.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-12",,"25.1",,"23.2"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-13","7.9","25.0",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-14",,"26.0","28.2","23.7"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-15",,"24.4","28.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-16",,"24.7","28.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-17",,"27.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-18",,"26.1","29.1",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-19",,"25.5",,"23.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-20",,"25.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-21",,"24.9","27.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-22",,"26.7","32.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-23",,"25.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-24",,"24.4","30.0","21.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-25",,"26.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-26",,"25.2",,"22.7"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-27",,"25.3","28.8",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-28",,"26.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-29",,"25.7","28.1",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-09-30","8.9","26.0",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-01","0.0","26.3","29.5",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-02",,"26.9",,"23.8"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-03",,"26.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-04",,"25.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-05",,"25.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-06",,"23.9",,
